,B,M,N,K,Latency,pred,err
0,128,256,256,256,0.03639039993286133,0.0435130023106467,0.19572751030288912
1,256,256,256,256,0.05643520057201386,0.06683064566459507,0.18420143788301335
2,512,256,256,256,0.09781119972467422,0.10350525553803891,0.05821476302706346
3,128,512,512,512,0.11235199868679047,0.10060843487735838,0.10452474318832757
4,256,512,512,512,0.20328959822654724,0.18703170644585043,0.07997404649587093
5,512,512,512,512,0.3890176057815552,0.39724117959849536,0.02113933584167382
6,128,1024,1024,1024,0.6647232055664063,0.5125666502863169,0.22890212648802868
7,256,1024,1024,1024,1.441817617416382,1.175456796772778,0.18473960744140475
8,512,1024,1024,1024,3.0023807525634765,2.5348933413624763,0.15570557158743192
